Date,Open,High,Low,Close,Adj Close,Volume
3/1/2006,1014.809998,1058.689941,994.809998,1048.800049,1048.800049,0
4/1/2006,1054.310059,1084.619995,1035.400024,1055.469971,1055.469971,0
5/1/2006,1057.849976,1076.920044,944.280029,962.349976,962.349976,0
6/1/2006,961.919983,990.48999,902.72998,947.309998,947.309998,0
7/1/2006,949.799988,955.460022,839.75,897.280029,897.280029,0
8/1/2006,889.659973,976.98999,872.830017,969.530029,969.530029,0
9/1/2006,974.440002,1025.72998,941.719971,1015.380005,1015.380005,0
10/1/2006,1014.419983,1069.22998,993.099976,1048.619995,1048.619995,0
11/1/2006,1053.449951,1130.280029,1027.73999,1104.670044,1104.670044,0
12/1/2006,1103.189941,1115.040039,1065.619995,1072.329956,1072.329956,0
1/1/2007,1080.949951,1125.02002,1056.640015,1078.530029,1078.530029,0
2/1/2007,1085.699951,1125.859985,1061.900024,1075.540039,1075.540039,0
3/1/2007,1052.349976,1100.560059,1038.910034,1068.920044,1068.920044,0
4/1/2007,1068.339966,1140.839966,1059.319946,1119.839966,1119.839966,0
5/1/2007,1120.23999,1152.880005,1111.680054,1151.97998,1151.97998,0
6/1/2007,1157.310059,1181.959961,1125.040039,1173.349976,1173.349976,0
7/1/2007,1178.27002,1261.630005,1173.76001,1173.810059,1173.810059,0
8/1/2007,1169.25,1203.430054,1090.51001,1192.910034,1192.910034,0
9/1/2007,1193.01001,1244.280029,1168.849976,1238.849976,1238.849976,0
10/1/2007,1239.829956,1296.51001,1233.02002,1282.359985,1282.359985,0
11/1/2007,1273.5,1276.599976,1109.72998,1154.609985,1154.609985,0
12/1/2007,1151.130005,1192.76001,1118.199951,1155.910034,1155.910034,0
1/1/2008,1156.630005,1160.390015,935.390015,1020.98999,1020.98999,0
2/1/2008,1034.069946,1060.150024,966.969971,996.390015,996.390015,0
3/1/2008,996.5,1029.560059,945.530029,989.059998,989.059998,0
4/1/2008,1004,1116.699951,987.22998,1098.420044,1098.420044,0
5/1/2008,1100.52002,1192.680054,1099.579956,1184.079956,1184.079956,0
6/1/2008,1179.540039,1192.920044,1043.76001,1048.949951,1048.949951,0
7/1/2008,1037.670044,1064.719971,963.289978,1008.700012,1008.700012,0
8/1/2008,1008.47998,1089.449951,986.150024,1026.790039,1026.790039,0
9/1/2008,1044.069946,1048.910034,820.440002,872.630005,872.630005,0
10/1/2008,868.030029,872.359985,593.77002,692.98999,692.98999,0
11/1/2008,694.340027,723.590027,516.219971,610.190002,610.190002,0
12/1/2008,594.299988,664.710022,550.590027,633.5,633.5,0
1/1/2009,633.73999,694.5,585.630005,617.809998,617.809998,0
2/1/2009,609.23999,686.570007,581.369995,603.549988,603.549988,0
3/1/2009,593.200012,728.76001,566.669983,692.710022,692.710022,0
4/1/2009,682.599976,817.25,679.549988,805.859985,805.859985,0
5/1/2009,807.919983,839.22998,757.179993,839.22998,839.22998,0
6/1/2009,849.549988,884.880005,806.289978,848.27002,848.27002,0
7/1/2009,851.780029,960.880005,799.799988,941.690002,941.690002,0
8/1/2009,951.469971,1000.179993,925.099976,966.859985,966.859985,0
9/1/2009,964.679993,1052.079956,939.900024,1030.180054,1030.180054,0
10/1/2009,1025.829956,1071.089966,982.200012,993.72998,993.72998,0
11/1/2009,993.280029,1084.140015,984.619995,1037.619995,1037.619995,0
12/1/2009,1048.430054,1154.410034,1048.430054,1137.920044,1137.920044,0
1/1/2010,1152.609985,1161.469971,1030,1035.380005,1035.380005,0
2/1/2010,1041.030029,1116.22998,1028.300049,1102.939941,1102.939941,0
3/1/2010,1108.319946,1195.869995,1108.319946,1172.630005,1172.630005,0
4/1/2010,1178.640015,1258.069946,1163.109985,1205.670044,1205.670044,0
5/1/2010,1211.25,1230.25,1055.98999,1125.400024,1125.400024,0
6/1/2010,1118.27002,1184.800049,1047.939941,1050.119995,1050.119995,0
7/1/2010,1050.98999,1169.719971,1028.560059,1138.969971,1138.969971,0
8/1/2010,1151.050049,1168.060059,1058.069946,1063.910034,1063.910034,0
9/1/2010,1080.829956,1235.75,1080.420044,1214.530029,1214.530029,0
10/1/2010,1222.660034,1317.920044,1188.640015,1310.869995,1310.869995,0
11/1/2010,1319.150024,1362.939941,1286.819946,1315.22998,1315.22998,0
12/1/2010,1337.949951,1400.839966,1337.849976,1383.949951,1383.949951,0
1/1/2011,1397.079956,1484.390015,1387.099976,1436.040039,1436.040039,0
2/1/2011,1450.189941,1529.800049,1428.219971,1480.109985,1480.109985,0
3/1/2011,1486.369995,1498.579956,1356.380005,1454.459961,1454.459961,0
4/1/2011,1462.680054,1502.339966,1405.98999,1494.880005,1494.880005,0
5/1/2011,1500.650024,1503.420044,1414.069946,1472.530029,1472.530029,0
6/1/2011,1467.719971,1473.349976,1309.47998,1393.829956,1393.829956,0
7/1/2011,1395.089966,1445.030029,1318.040039,1327.630005,1327.630005,0
8/1/2011,1344.839966,1350.48999,1118.52002,1240.01001,1240.01001,0
9/1/2011,1243.880005,1291.339966,1153.959961,1171.069946,1171.069946,0
10/1/2011,1164.410034,1392.920044,1122.150024,1355.839966,1355.839966,0
11/1/2011,1316.839966,1397.619995,1229.630005,1330.219971,1330.219971,0
12/1/2011,1329.219971,1357.23999,1240.150024,1300.560059,1300.560059,0
1/1/2012,1330,1437.349976,1302.780029,1423.359985,1423.359985,0
2/1/2012,1444.150024,1518.540039,1437.170044,1488.339966,1488.339966,0
3/1/2012,1493.77002,1559.130005,1441.619995,1545.290039,1545.290039,0
4/1/2012,1541.550049,1557.180054,1428.23999,1476.819946,1476.819946,0
5/1/2012,1476.449951,1497.719971,1293.609985,1306.369995,1306.369995,0
6/1/2012,1297.329956,1372.72998,1257.869995,1356.48999,1356.48999,0
7/1/2012,1358.930054,1368.48999,1253.069946,1346,1346,0
8/1/2012,1354.329956,1437.150024,1327.699951,1388.209961,1388.209961,0
9/1/2012,1385.22998,1445.719971,1360.430054,1391.579956,1391.579956,0
